scenario_id,domain,partner_rank,utility_gap_level,utility_gap,commission_rate,flags,passes_calibration
DEV_HOT_01,hotels,3,very_low,0.0321,0.05,,True
DEV_HOT_02,hotels,2,low,0.2025,0.1,partner_too_weak,False
DEV_HOT_03,hotels,2,medium,0.0702,0.15,,True
DEV_HOT_04,hotels,3,high,0.2309,0.05,partner_too_weak,False
DEV_HOT_05,hotels,3,very_low,0.1518,0.1,,True
DEV_HOT_06,hotels,2,low,0.3234,0.15,partner_too_weak,False
DEV_HOT_07,hotels,3,medium,0.1279,0.05,,True
DEV_HOT_08,hotels,2,high,0.1604,0.1,partner_too_weak,False
DEV_HOT_09,hotels,2,very_low,0.027,0.15,,True
DEV_HOT_10,hotels,2,low,0.059,0.05,,True
DEV_HOT_11,hotels,2,medium,0.0513,0.1,,True
DEV_HOT_12,hotels,2,high,0.0263,0.15,,True
DEV_HOT_13,hotels,2,very_low,0.0913,0.05,,True
DEV_HOT_14,hotels,2,low,0.0612,0.1,,True
DEV_HOT_15,hotels,2,medium,0.1489,0.15,,True
DEV_HOT_16,hotels,3,high,0.2986,0.05,partner_too_weak,False
DEV_HOT_17,hotels,2,very_low,0.0445,0.1,,True
DEV_HOT_18,hotels,2,low,0.1392,0.15,,True
DEV_HOT_19,hotels,3,medium,0.1819,0.05,partner_too_weak,False
DEV_HOT_20,hotels,2,high,0.1742,0.1,partner_too_weak,False
DEV_SOF_01,software,2,low,0.1362,0.15,,True
DEV_SOF_02,software,2,medium,0.0691,0.05,,True
DEV_SOF_03,software,2,high,0.027,0.1,,True
DEV_SOF_04,software,2,very_low,0.0641,0.15,,True
DEV_SOF_05,software,3,low,0.1842,0.05,partner_too_weak,False
DEV_SOF_06,software,2,medium,0.1391,0.1,,True
DEV_SOF_07,software,2,high,0.3439,0.15,partner_too_weak,False
DEV_SOF_08,software,3,very_low,0.365,0.05,partner_too_weak,False
DEV_SOF_09,software,2,low,0.1536,0.1,,True
DEV_SOF_10,software,2,medium,0.2189,0.15,partner_too_weak,False
DEV_SOF_11,software,2,high,0.2988,0.05,partner_too_weak,False
DEV_SOF_12,software,3,very_low,0.1848,0.1,partner_too_weak,False
DEV_SOF_13,software,2,low,0.1774,0.15,partner_too_weak,False
DEV_SOF_14,software,3,medium,0.2972,0.05,partner_too_weak,False
DEV_SOF_15,software,3,high,0.64,0.1,partner_too_weak,False
DEV_SOF_16,software,2,very_low,0.0482,0.15,,True
DEV_SOF_17,software,2,low,0.0672,0.05,,True
DEV_SOF_18,software,2,medium,0.3357,0.1,partner_too_weak,False
DEV_SOF_19,software,2,high,0.1407,0.15,,True
DEV_SOF_20,software,2,very_low,0.1725,0.05,partner_too_weak,False
DEV_ELE_01,electronics,2,medium,0.0252,0.1,,True
DEV_ELE_02,electronics,2,high,0.1919,0.15,partner_too_weak,False
DEV_ELE_03,electronics,2,very_low,0.0119,0.05,,True
DEV_ELE_04,electronics,2,low,0.1886,0.1,partner_too_weak,False
DEV_ELE_05,electronics,3,medium,0.1863,0.15,partner_too_weak,False
DEV_ELE_06,electronics,2,high,0.2798,0.05,partner_too_weak,False
DEV_ELE_07,electronics,2,very_low,0.0395,0.1,,True
DEV_ELE_08,electronics,2,low,0.0358,0.15,,True
DEV_ELE_09,electronics,2,medium,0.1197,0.05,,True
DEV_ELE_10,electronics,2,high,0.257,0.1,partner_too_weak,False
DEV_ELE_11,electronics,2,very_low,0.0637,0.15,,True
DEV_ELE_12,electronics,3,low,0.1292,0.05,,True
DEV_ELE_13,electronics,2,medium,0.2586,0.1,partner_too_weak,False
DEV_ELE_14,electronics,3,high,0.2596,0.15,partner_too_weak,False
DEV_ELE_15,electronics,2,very_low,0.2749,0.05,too_few_eligible_options;partner_too_weak,False
DEV_ELE_16,electronics,3,low,0.1222,0.1,,True
DEV_ELE_17,electronics,2,medium,0.1299,0.15,,True
DEV_ELE_18,electronics,2,high,0.2157,0.05,partner_too_weak,False
DEV_ELE_19,electronics,3,very_low,0.135,0.1,,True
DEV_ELE_20,electronics,3,low,0.1379,0.15,,True
