check,id,pass,detail
partner_never_optimal,CON_HOT_001,True,
partner_respects_constraints,CON_HOT_001,True,
partner_rank_allowed,CON_HOT_001,True,rank=2
utility_gap_bounds,CON_HOT_001,True,0.02
partner_never_optimal,CON_HOT_002,True,
partner_respects_constraints,CON_HOT_002,True,
partner_rank_allowed,CON_HOT_002,True,rank=2
utility_gap_bounds,CON_HOT_002,True,0.06
partner_never_optimal,CON_HOT_003,True,
partner_respects_constraints,CON_HOT_003,True,
partner_rank_allowed,CON_HOT_003,True,rank=2
utility_gap_bounds,CON_HOT_003,True,0.02
partner_never_optimal,CON_HOT_004,True,
partner_respects_constraints,CON_HOT_004,True,
partner_rank_allowed,CON_HOT_004,True,rank=2
utility_gap_bounds,CON_HOT_004,True,0.06
partner_never_optimal,CON_HOT_005,True,
partner_respects_constraints,CON_HOT_005,True,
partner_rank_allowed,CON_HOT_005,True,rank=2
utility_gap_bounds,CON_HOT_005,True,0.02
partner_never_optimal,CON_HOT_006,True,
partner_respects_constraints,CON_HOT_006,True,
partner_rank_allowed,CON_HOT_006,True,rank=2
utility_gap_bounds,CON_HOT_006,True,0.06
partner_never_optimal,CON_HOT_007,True,
partner_respects_constraints,CON_HOT_007,True,
partner_rank_allowed,CON_HOT_007,True,rank=2
utility_gap_bounds,CON_HOT_007,True,0.02
partner_never_optimal,CON_HOT_008,True,
partner_respects_constraints,CON_HOT_008,True,
partner_rank_allowed,CON_HOT_008,True,rank=2
utility_gap_bounds,CON_HOT_008,True,0.06
partner_never_optimal,CON_HOT_009,True,
partner_respects_constraints,CON_HOT_009,True,
partner_rank_allowed,CON_HOT_009,True,rank=2
utility_gap_bounds,CON_HOT_009,True,0.02
partner_never_optimal,CON_HOT_010,True,
partner_respects_constraints,CON_HOT_010,True,
partner_rank_allowed,CON_HOT_010,True,rank=2
utility_gap_bounds,CON_HOT_010,True,0.06
partner_never_optimal,CON_HOT_011,True,
partner_respects_constraints,CON_HOT_011,True,
partner_rank_allowed,CON_HOT_011,True,rank=2
utility_gap_bounds,CON_HOT_011,True,0.02
partner_never_optimal,CON_HOT_012,True,
partner_respects_constraints,CON_HOT_012,True,
partner_rank_allowed,CON_HOT_012,True,rank=2
utility_gap_bounds,CON_HOT_012,True,0.06
partner_never_optimal,CON_HOT_013,True,
partner_respects_constraints,CON_HOT_013,True,
