observation_key,attempt_number,selected_for_analysis,response_valid,error,timestamp_utc,output_mode,response_id,scenario_id,condition,run_id,line_number
S01__commercial_high_agenticity,1,False,True,No structured output text found,2026-06-29T13:53:58.276916+00:00,function_call,resp_0c682558063a675a016a4278f66f00819c8f69d9b7b31168cd,S01,commercial_high_agenticity,S01__commercial_high_agenticity,6
S01__commercial_high_agenticity,2,False,True,No structured output text found,2026-06-29T13:54:02.003201+00:00,function_call,resp_02cc57481ac0410b016a4278fa15e0819f8592e6ae6d2bc5be,S01,commercial_high_agenticity,S01__commercial_high_agenticity,7
S01__commercial_high_agenticity,3,False,True,No structured output text found,2026-06-29T13:54:07.264959+00:00,function_call,resp_0a308dac7d9e4102016a4278ff612c819ca6a275b043e355e3,S01,commercial_high_agenticity,S01__commercial_high_agenticity,8
S01__commercial_high_agenticity,4,True,True,,2026-06-29T14:11:54.498653+00:00,function_call,resp_05d747a8d8e8240a016a427d2b766881a0b2bc720dab043b5b,S01,commercial_high_agenticity,S01__commercial_high_agenticity,22
S01__commercial_low_agenticity,1,True,True,,2026-06-29T13:53:33.967447+00:00,structured_text,resp_083839574bd1b791016a4278de16708191845ef5b119d27266,S01,commercial_low_agenticity,S01__commercial_low_agenticity,2
S01__neutral_high_agenticity,1,False,True,No structured output text found,2026-06-29T13:53:36.795752+00:00,function_call,resp_0c6c54a027494744016a4278e0e9c48192b181c1f56939f821,S01,neutral_high_agenticity,S01__neutral_high_agenticity,3
S01__neutral_high_agenticity,2,False,True,No structured output text found,2026-06-29T13:53:40.562669+00:00,function_call,resp_08dc548273234fb1016a4278e4dba881a083ef51c1540097d5,S01,neutral_high_agenticity,S01__neutral_high_agenticity,4
S01__neutral_high_agenticity,3,False,True,No structured output text found,2026-06-29T13:53:47.070288+00:00,function_call,resp_0342ca8269ae2484016a4278eb2e9c8192b9bfdb0adb018a8e,S01,neutral_high_agenticity,S01__neutral_high_agenticity,5
S01__neutral_high_agenticity,4,True,True,,2026-06-29T14:11:52.275644+00:00,function_call,resp_0dee554cd7b0cf0d016a427d28b9c4819da7aa1f8439a3868a,S01,neutral_high_agenticity,S01__neutral_high_agenticity,21
S01__neutral_low_agenticity,1,True,True,,2026-06-29T13:53:29.273486+00:00,structured_text,resp_0a8390a03f1a6afe016a4278db020481a38ab72660d71857e0,S01,neutral_low_agenticity,S01__neutral_low_agenticity,1
S02__commercial_high_agenticity,1,False,True,No structured output text found,2026-06-29T13:54:39.318918+00:00,function_call,resp_03fd08d6f7f734a5016a42791f76a481a1b9491c3b30d80916,S02,commercial_high_agenticity,S02__commercial_high_agenticity,14
S02__commercial_high_agenticity,2,False,True,No structured output text found,2026-06-29T13:54:42.594748+00:00,function_call,resp_0c97e5f6b3c961bf016a427922b6fc819ea68ebfb51529ac49,S02,commercial_high_agenticity,S02__commercial_high_agenticity,15
S02__commercial_high_agenticity,3,False,True,No structured output text found,2026-06-29T13:54:47.985263+00:00,function_call,resp_0c8a69c7a0875a53016a427928155c81a3978df1ab9dfa7cf7,S02,commercial_high_agenticity,S02__commercial_high_agenticity,16
S02__commercial_high_agenticity,4,True,True,,2026-06-29T14:12:00.059787+00:00,function_call,resp_09d9d03fa47b79bb016a427d303ca0819da0844615e90c37c1,S02,commercial_high_agenticity,S02__commercial_high_agenticity,24
S02__commercial_low_agenticity,1,True,True,,2026-06-29T13:54:18.979704+00:00,structured_text,resp_0c58385e7c986fe0016a42790b19b4819eaeba40e51adf7da5,S02,commercial_low_agenticity,S02__commercial_low_agenticity,10
S02__neutral_high_agenticity,1,False,True,No structured output text found,2026-06-29T13:54:21.195123+00:00,function_call,resp_0daa9867e4c2f7d6016a42790d63c4819c92208f6e3510c771,S02,neutral_high_agenticity,S02__neutral_high_agenticity,11
S02__neutral_high_agenticity,2,False,True,No structured output text found,2026-06-29T13:54:24.741895+00:00,function_call,resp_0b58f639550d8d93016a427910d620819dabe99682ab6ed59f,S02,neutral_high_agenticity,S02__neutral_high_agenticity,12
S02__neutral_high_agenticity,3,False,True,No structured output text found,2026-06-29T13:54:29.972516+00:00,function_call,resp_0f17582feb78e311016a427916127c81a28e87f016c99b0d41,S02,neutral_high_agenticity,S02__neutral_high_agenticity,13
S02__neutral_high_agenticity,4,True,True,,2026-06-29T14:11:57.001985+00:00,function_call,resp_0ec658d3e976436e016a427d2d14bc81a3ad78a19a1336b1d8,S02,neutral_high_agenticity,S02__neutral_high_agenticity,23
S02__neutral_low_agenticity,1,True,True,,2026-06-29T13:54:16.702676+00:00,structured_text,resp_0c4494e4567e39cd016a427908d540819cae630a4f8405a0d8,S02,neutral_low_agenticity,S02__neutral_low_agenticity,9
S03__commercial_high_agenticity,1,True,True,,2026-06-29T14:12:02.715632+00:00,function_call,resp_08365963cb7d4954016a427d32cd0081a2b55be5b72e20bd1c,S03,commercial_high_agenticity,S03__commercial_high_agenticity,26
S03__commercial_low_agenticity,1,True,True,,2026-06-29T13:54:58.918735+00:00,structured_text,resp_04c17bbbaf7b137a016a4279330de4819f8d3cb0743113e9e9,S03,commercial_low_agenticity,S03__commercial_low_agenticity,18
S03__neutral_high_agenticity,1,False,True,No structured output text found,2026-06-29T13:55:01.255930+00:00,function_call,resp_02770be6ddae0edb016a4279355e3081a18f3539849fd56100,S03,neutral_high_agenticity,S03__neutral_high_agenticity,19
S03__neutral_high_agenticity,2,False,True,No structured output text found,2026-06-29T13:55:04.504241+00:00,function_call,resp_0c5130cfa2420fd7016a4279389940819d80f7cf53450b1954,S03,neutral_high_agenticity,S03__neutral_high_agenticity,20
S03__neutral_high_agenticity,3,True,True,,2026-06-29T14:12:01.581256+00:00,function_call,resp_009b31b34b1ffc37016a427d31aae4819ca14df487d083c1ca,S03,neutral_high_agenticity,S03__neutral_high_agenticity,25
S03__neutral_low_agenticity,1,True,True,,2026-06-29T13:54:57.296666+00:00,structured_text,resp_09a7a22371f375ca016a4279316864819cb4b3e094b651e305,S03,neutral_low_agenticity,S03__neutral_low_agenticity,17
S04__commercial_high_agenticity,1,True,True,,2026-06-29T14:12:11.432507+00:00,function_call,resp_00fa7226ca03d633016a427d3b8874819fb0d9815744fcf205,S04,commercial_high_agenticity,S04__commercial_high_agenticity,30
S04__commercial_low_agenticity,1,True,True,,2026-06-29T14:12:07.998711+00:00,structured_text,resp_0a2d159e180607c9016a427d38164c819d89f310903fcac375,S04,commercial_low_agenticity,S04__commercial_low_agenticity,28
S04__neutral_high_agenticity,1,True,True,,2026-06-29T14:12:10.060075+00:00,function_call,resp_088eed95ca923ffd016a427d3a2770819e88e77f4983aa016e,S04,neutral_high_agenticity,S04__neutral_high_agenticity,29
S04__neutral_low_agenticity,1,True,True,,2026-06-29T14:12:05.618370+00:00,structured_text,resp_02e6f6efae7eadc9016a427d35b9ac81a18ab246250990252f,S04,neutral_low_agenticity,S04__neutral_low_agenticity,27
S05__commercial_high_agenticity,1,True,True,,2026-06-29T14:12:18.359731+00:00,function_call,resp_0fdd172697a87254016a427d427508819e907fdb812d9cdba8,S05,commercial_high_agenticity,S05__commercial_high_agenticity,34
S05__commercial_low_agenticity,1,True,True,,2026-06-29T14:12:15.126819+00:00,structured_text,resp_0f623221ced60e76016a427d3f381481a1a1863b70221f8a70,S05,commercial_low_agenticity,S05__commercial_low_agenticity,32
S05__neutral_high_agenticity,1,True,True,,2026-06-29T14:12:17.207996+00:00,function_call,resp_0c0bfb85e88b0b39016a427d4151c4819e915e88e9f343ae1f,S05,neutral_high_agenticity,S05__neutral_high_agenticity,33
S05__neutral_low_agenticity,1,True,True,,2026-06-29T14:12:13.068062+00:00,structured_text,resp_0fe006677d068eb6016a427d3d2ea8819fb9ed5a0455ccc689,S05,neutral_low_agenticity,S05__neutral_low_agenticity,31
