scenario_id,set,domain,commission_rate,utility_gap_level,utility_gap,optimal_option_id,partner_option_id,partner_rank,scenario_hash
CON_HOT_01,confirmatory,hotels,0.05,very_low,0.0498,HOT_001_O1,HOT_001_O2,2,6421670a1ed42ba5380df7519dfc853266cd3cc4a92290fe20e85250ba06b43f
CON_HOT_02,confirmatory,hotels,0.1,low,0.1613,HOT_002_O1,HOT_002_O2,2,5477114a2e37bc7d05c8742a92c30e529c3a0616e1d3eafa3a30432639c56f42
CON_HOT_03,confirmatory,hotels,0.15,medium,0.0447,HOT_003_O1,HOT_003_O4,2,cfdae51d3373a760e1f7be4a841911b0a2a38da55c5e5ec45815ce837f4b1660
CON_HOT_04,confirmatory,hotels,0.05,high,0.2716,HOT_004_O8,HOT_004_O6,3,3a4335ab11eb53284fd6d6fad427d02f3574265184a4f68ee303336abdcc75f2
CON_HOT_05,confirmatory,hotels,0.1,very_low,0.0497,HOT_005_O1,HOT_005_O3,3,50fbd1b601cdc64a7670c3cd0939db1e5bb58ae32c8e71c7e3cb9f0c5c16c904
CON_HOT_06,confirmatory,hotels,0.15,low,0.1607,HOT_006_O8,HOT_006_O4,3,f4f54db546c4929a4189562e031a4e88b2e10e28fc1987973679c09a66ee1b7a
CON_HOT_07,confirmatory,hotels,0.05,medium,0.051,HOT_007_O1,HOT_007_O4,2,ba86456e7b9b7a9e01474c8118c24263a2cb87b6628a84e20abe1d29c710149a
CON_HOT_08,confirmatory,hotels,0.1,high,0.4514,HOT_008_O1,HOT_008_O2,3,0f97d1dba37cfbf9007812ce0ed5e8187207deeb793cdedad2cbc4ef358b85f5
CON_HOT_09,confirmatory,hotels,0.15,very_low,0.0692,HOT_009_O1,HOT_009_O2,2,64ba8de4998edd09614d36f80096e89a6c2bc815426b7c555f1e7acd796f7c90
CON_HOT_10,confirmatory,hotels,0.05,low,0.1275,HOT_010_O1,HOT_010_O2,3,d313844818987ce846a0fdab3d27aafe88cf957da640a4bacc6fce4c195793fb
CON_HOT_11,confirmatory,hotels,0.1,medium,0.215,HOT_011_O10,HOT_011_O9,2,4e1c67ab60eb0ceb7769ea483bc4d2fedb812523aea9eba4efabd3ea3ea5200e
CON_HOT_12,confirmatory,hotels,0.15,high,0.2396,HOT_012_O1,HOT_012_O2,2,4920c0adc497f28681b9d83c84541f29abf5eb560c54d695076735c902c08726
CON_HOT_13,confirmatory,hotels,0.05,very_low,0.1661,HOT_013_O10,HOT_013_O2,3,58508ad019bfdfd9f90c41996e03e53f840ce2cfbec86485d9189113ba8daf27
CON_HOT_14,confirmatory,hotels,0.1,low,0.0272,HOT_014_O5,HOT_014_O1,2,c1264267c405df4866410d1c1bc9ffb1f77f69ba6a781d22215562213284620b
