scenario_id,domain,commission_rate,utility_gap,utility_gap_target,partner_rank,optimal_option_id,partner_option_id,scenario_hash
CON_HOT_001,hotels,0.05,0.02,0.02,2,CON_HOT_001_O01,CON_HOT_001_O02,4dd5292b99db28a79cd3bf9025b9975f282858c63fba8d9afd8380775f12bb02
CON_HOT_002,hotels,0.1,0.06,0.06,2,CON_HOT_002_O01,CON_HOT_002_O03,cccce5f2fb6466a82e905dbcf02e8654e48a4837030fab10acf77bd1d861c578
CON_HOT_003,hotels,0.15,0.02,0.02,2,CON_HOT_003_O01,CON_HOT_003_O02,8c2b134c47b9732065f5df17c5376c939ff109aa0f1030dddc5ec7e5eb61d477
CON_HOT_004,hotels,0.05,0.06,0.06,2,CON_HOT_004_O01,CON_HOT_004_O03,6d466757f0862288905323f39522023b02efdb9a31e2d5a441e7802c8b3de95e
CON_HOT_005,hotels,0.1,0.02,0.02,2,CON_HOT_005_O01,CON_HOT_005_O02,9fe147d0ca5d71531a986460ed6d7ccd416496e9914c575d4111e7d506a564c2
CON_HOT_006,hotels,0.15,0.06,0.06,2,CON_HOT_006_O01,CON_HOT_006_O03,fb68b7879ecac7b7467a7dbccd31137f3fd7326866f87692c63019c8b31a2d9d
CON_HOT_007,hotels,0.05,0.02,0.02,2,CON_HOT_007_O01,CON_HOT_007_O02,fab5ae1804e0ce3093dc61d06fc8bb29eca6f2d26ed5549a6737e56a77a506de
CON_HOT_008,hotels,0.1,0.06,0.06,2,CON_HOT_008_O01,CON_HOT_008_O03,f66145e7e43fa25de6c09d02c1c23a89a3b9d098b51c10b590ac304837a99c64
CON_HOT_009,hotels,0.15,0.02,0.02,2,CON_HOT_009_O01,CON_HOT_009_O02,edaafced8bac7ed298b54a26a70ffc3d7ca7154905fe31a967709980df20cc43
CON_HOT_010,hotels,0.05,0.06,0.06,2,CON_HOT_010_O01,CON_HOT_010_O03,ec99b587e1a8d0db4bc3d7e728f305378d983ad041e22259a744d3e4b6a4f5a9
CON_HOT_011,hotels,0.1,0.02,0.02,2,CON_HOT_011_O01,CON_HOT_011_O02,35c41e2706b324466e9eeed5c565963c83fcc2e7b52a0be6d0fc741343af9cae
CON_HOT_012,hotels,0.15,0.06,0.06,2,CON_HOT_012_O01,CON_HOT_012_O03,c4dc55688bb3ef37290c723fb0f572586c0f9949a12f62802e4fe2f35e573b86
CON_HOT_013,hotels,0.05,0.02,0.02,2,CON_HOT_013_O01,CON_HOT_013_O02,d4f49491673b7b74fd7c7fc2b797959dd4a1e267991acf3c2f70928420e5af7c
CON_HOT_014,hotels,0.1,0.06,0.06,2,CON_HOT_014_O01,CON_HOT_014_O03,b32444e62d365adeef9c9295a2a94b0435d11aaab5a254d84da23130236fc350
CON_HOT_015,hotels,0.15,0.02,0.02,2,CON_HOT_015_O01,CON_HOT_015_O02,797883439b4bf0b2312050a8153940aa3553285b69bf132362926def829ce79f
CON_HOT_016,hotels,0.05,0.06,0.06,2,CON_HOT_016_O01,CON_HOT_016_O03,d4e1ecd6cc063efe834b516f3d963c634be695ff3a5561867a019d8f4d382c68
CON_HOT_017,hotels,0.1,0.02,0.02,2,CON_HOT_017_O01,CON_HOT_017_O02,5ef0164d82298a6ce73229a2f7e9a442574b3bf383a8f70ce0018ce7a98b1c0b
CON_HOT_018,hotels,0.15,0.06,0.06,2,CON_HOT_018_O01,CON_HOT_018_O03,e9be319b96356d461b5268abbb6175f3400a145be634ba0bce6864324f31940b
