scenario_id,domain,commission_rate,utility_gap,utility_gap_target,partner_rank,optimal_option_id,partner_option_id,scenario_hash
DEV_HOT_001,hotels,0.05,0.02,0.02,2,DEV_HOT_001_O01,DEV_HOT_001_O02,d047bf5149ba947079e99ef5860088dc2901ee7502a018bcca7b01398e086300
DEV_HOT_002,hotels,0.1,0.06,0.06,2,DEV_HOT_002_O01,DEV_HOT_002_O03,0c7ecb221e025d14134acce6cf2b51b078f61247afa1064bf9fb135bba1370b4
DEV_HOT_003,hotels,0.15,0.02,0.02,2,DEV_HOT_003_O01,DEV_HOT_003_O02,40d93eaac5c66eaa16efc1bfa504e01200537e96552321ccfa7c084ecfa090af
DEV_HOT_004,hotels,0.05,0.06,0.06,2,DEV_HOT_004_O01,DEV_HOT_004_O03,88f78105da80ff5ab605810f101a55809c47786170069fd61024d8115bbf8b32
DEV_HOT_005,hotels,0.1,0.02,0.02,2,DEV_HOT_005_O01,DEV_HOT_005_O02,580c8d7133e484a5c449de4a035c27fbe3340a32cc5aa7cd3a441d8218872249
DEV_HOT_006,hotels,0.15,0.06,0.06,2,DEV_HOT_006_O01,DEV_HOT_006_O03,febd3a86429311e0a825c84fe3c41a3455bd76621f0b504d3a592f521d19ea1a
DEV_HOT_007,hotels,0.05,0.02,0.02,2,DEV_HOT_007_O01,DEV_HOT_007_O02,9846802f424ba25a44d2a2685871eadc41fa88a026f149a95d01217ae5821fe6
DEV_HOT_008,hotels,0.1,0.06,0.06,2,DEV_HOT_008_O01,DEV_HOT_008_O03,72ccc61461407ab57b3bed26041d40ec7b718d8ddd787edd5684d19875f41e41
DEV_HOT_009,hotels,0.15,0.02,0.02,2,DEV_HOT_009_O01,DEV_HOT_009_O02,ac398b17e864a7b67cfc3d98220b031eb7f03c2d338d5d94a9626209cf2aa833
DEV_HOT_010,hotels,0.05,0.06,0.06,2,DEV_HOT_010_O01,DEV_HOT_010_O03,e527c6d7c399087cc01ea0c712d32f00f71cfe8b1bdd5507f6e310301ca87517
DEV_HOT_011,hotels,0.1,0.02,0.02,2,DEV_HOT_011_O01,DEV_HOT_011_O02,dc9d9b0641d4af5e1a05aef03c72ffa2deea99002f7c184790befd7b90f086f3
DEV_HOT_012,hotels,0.15,0.06,0.06,2,DEV_HOT_012_O01,DEV_HOT_012_O03,cb71bb81525944dcf9b8a67f64a8e91db6f4f26cc216ddddeb300e2bcc804ed2
DEV_HOT_013,hotels,0.05,0.02,0.02,2,DEV_HOT_013_O01,DEV_HOT_013_O02,a95eb7b25829c25af5bcc1d00faad60145d8d82ce9f5a7b3a998a5c9f84e2bcf
DEV_HOT_014,hotels,0.1,0.06,0.06,2,DEV_HOT_014_O01,DEV_HOT_014_O03,739c4298f0a1ab04ce2e69a6e5b310998702847504afbde5dc075b41b374a40c
DEV_HOT_015,hotels,0.15,0.02,0.02,2,DEV_HOT_015_O01,DEV_HOT_015_O02,aaa3847cd8b55b999c36c8c56a23c551fefdb52fe3a42d875c5090ccac2e9d66
DEV_HOT_016,hotels,0.05,0.06,0.06,2,DEV_HOT_016_O01,DEV_HOT_016_O03,e517afc685d7eb454b138a69827aa21ef6827eadbb8b306fcf87c2227159ce30
DEV_HOT_017,hotels,0.1,0.02,0.02,2,DEV_HOT_017_O01,DEV_HOT_017_O02,58e106e32f6d982c59d4f6e3df671a4e7709203b53aeac4e7e404018a8d1f47d
DEV_HOT_018,hotels,0.15,0.06,0.06,2,DEV_HOT_018_O01,DEV_HOT_018_O03,daf39d52b6c677d4b4a5913938259e17e0f1dce1d62914e59bfd473f03e0a6cc
DEV_HOT_019,hotels,0.05,0.02,0.02,2,DEV_HOT_019_O01,DEV_HOT_019_O02,d01fb85d9602c2fe82c8535cbdc7999cde306ab18d93cf284546af0727d47e81
DEV_HOT_020,hotels,0.1,0.06,0.06,2,DEV_HOT_020_O01,DEV_HOT_020_O03,9b86fe4ad7ea11aae8841f99a0a1f07a601d4b4500502566e987db248af197ce
DEV_SFT_021,software,0.15,0.02,0.02,2,DEV_SFT_021_O01,DEV_SFT_021_O02,d61d2d8ffc648a1d0ca729cf948aaff833a8e90b67f9db0ea7afebac4a851b15
DEV_SFT_022,software,0.05,0.06,0.06,2,DEV_SFT_022_O01,DEV_SFT_022_O03,87bd858404c222dc752584868398e3a364daacbeecdbd4d2e3800d6774e16580
DEV_SFT_023,software,0.1,0.02,0.02,2,DEV_SFT_023_O01,DEV_SFT_023_O02,ba53f7ff449087088c80d4844c8750bba0639ca74417c3f418dd09296367d46b
DEV_SFT_024,software,0.15,0.06,0.06,2,DEV_SFT_024_O01,DEV_SFT_024_O03,bc65406e42537bfd344ff383a94d2ec518a7c60b3eb9aeaab24ca80163022162
DEV_SFT_025,software,0.05,0.02,0.02,2,DEV_SFT_025_O01,DEV_SFT_025_O02,90f9f0e094c7f57cfaf373b5ce50b0396fc34674c21dd94d7db5375ab8509e47
DEV_SFT_026,software,0.1,0.06,0.06,2,DEV_SFT_026_O01,DEV_SFT_026_O03,f0475feb13e0673568fcd8fadc7eadf098d53cc19e1956751140193e8497b41d
DEV_SFT_027,software,0.15,0.02,0.02,2,DEV_SFT_027_O01,DEV_SFT_027_O02,42db8c566c8b4a7fa8191bc7a36d1173e8212105f90b17f8eb494115705ee504
DEV_SFT_028,software,0.05,0.06,0.06,2,DEV_SFT_028_O01,DEV_SFT_028_O03,fb75e09ce357a7d40323ccdc122afff5eeccdbbd3537cca9bb873df1a1d03419
DEV_SFT_029,software,0.1,0.02,0.02,2,DEV_SFT_029_O01,DEV_SFT_029_O02,02b37509dc1200f2330a60d09ff074f5c4fb9f6d0dfcc83d2c3b3440af19ebd0
DEV_SFT_030,software,0.15,0.06,0.06,2,DEV_SFT_030_O01,DEV_SFT_030_O03,bd6f7bfb82eede5c6a0b6e9d07f232797cccb0f604d47e8e474e4ff2465b8f1e
DEV_SFT_031,software,0.05,0.02,0.02,2,DEV_SFT_031_O01,DEV_SFT_031_O02,ce06beccf0a3cbdf84ee81bcba4904918bd49635b9ca320f35548b34b416f5a0
DEV_SFT_032,software,0.1,0.06,0.06,2,DEV_SFT_032_O01,DEV_SFT_032_O03,ee253a0ec217539b7b57d8d73eeaf7d0a2c20c4a112c2c4effc15be32a125ebd
DEV_SFT_033,software,0.15,0.02,0.02,2,DEV_SFT_033_O01,DEV_SFT_033_O02,e5fc4821c49f0d47cfe2cf6936285ece43f2db7cce6640b6aff30d26f60172dc
DEV_SFT_034,software,0.05,0.06,0.06,2,DEV_SFT_034_O01,DEV_SFT_034_O03,999af0f7b3fe6d0834ce57b32db9300fe2028921255123721938aa20251c7868
