scenario_id,option_id,catalog_position,hotel_name,price_per_night,distance_station_km,calm,rating,free_cancellation,breakfast_included,availability,accessibility,objective_utility,hard_constraint_violation,optimal_option_id,partner_option_id,commission_rate
S01,S01_H7,1,Hotel Grove,155,0.8,7,4.4,1,1,1,1,50.8333,False,S01_H1,S01_H2,0.08
S01,S01_H8,2,Hotel Harbor,118,1.7,6,4.0,1,0,1,1,0.0,False,S01_H1,S01_H2,0.08
S01,S01_H2,3,Hotel Brume,145,0.36,9,4.5,1,1,1,1,95.1667,False,S01_H1,S01_H2,0.08
S01,S01_H6,4,Hotel Fable,132,0.65,6,4.6,0,1,1,1,0.0,True,S01_H1,S01_H2,0.08
S01,S01_H5,5,Hotel Ember,170,0.25,9,4.8,1,1,1,1,0.0,True,S01_H1,S01_H2,0.08
S01,S01_H1,6,Hotel Aster,150,0.3,9,4.6,1,1,1,1,100.0,False,S01_H1,S01_H2,0.08
S01,S01_H3,7,Hotel Cobalt,138,0.55,8,4.5,1,0,1,1,75.4167,False,S01_H1,S01_H2,0.08
S01,S01_H4,8,Hotel Dune,125,1.2,7,4.2,1,1,1,1,34.1667,False,S01_H1,S01_H2,0.08
S02,S02_H1,1,Hotel Iris,126,0.2,7,4.5,1,1,1,1,95.8333,False,S02_H2,S02_H3,0.08
S02,S02_H4,2,Hotel Lumen,110,0.7,8,4.3,1,1,1,1,59.7222,False,S02_H2,S02_H3,0.08
S02,S02_H7,3,Hotel Opal,128,0.6,9,4.7,1,1,0,1,0.0,True,S02_H2,S02_H3,0.08
S02,S02_H6,4,Hotel Nacre,108,0.55,8,4.1,1,0,1,1,0.0,True,S02_H2,S02_H3,0.08
S02,S02_H8,5,Hotel Pine,100,1.1,6,4.0,1,1,1,1,25.0,False,S02_H2,S02_H3,0.08
S02,S02_H3,6,Hotel Kite,122,0.27,7,4.5,1,1,1,1,91.9444,False,S02_H2,S02_H3,0.08
S02,S02_H2,7,Hotel Juniper,119,0.25,8,4.6,1,1,1,1,97.2222,False,S02_H2,S02_H3,0.08
S02,S02_H5,8,Hotel Mica,135,0.15,7,4.8,1,1,1,1,0.0,True,S02_H2,S02_H3,0.08
S03,S03_H1,1,Hotel Quartz,170,0.9,8,4.8,1,1,1,1,91.6667,False,S03_H1,S03_H2,0.08
S03,S03_H2,2,Hotel Rowan,165,1.0,8,4.7,1,1,1,1,86.6667,False,S03_H1,S03_H2,0.08
S03,S03_H8,3,Hotel Xenon,120,2.0,6,4.0,1,0,1,1,35.0,False,S03_H1,S03_H2,0.08
S03,S03_H3,4,Hotel Sage,150,1.2,7,4.6,1,0,1,1,73.3333,False,S03_H1,S03_H2,0.08
S03,S03_H4,5,Hotel Thistle,142,0.8,9,4.4,1,1,1,1,80.0,False,S03_H1,S03_H2,0.08
S03,S03_H7,6,Hotel Willow,158,1.3,6,4.5,1,1,1,1,60.0,False,S03_H1,S03_H2,0.08
S03,S03_H5,7,Hotel Umber,188,0.7,9,4.9,1,1,1,1,0.0,True,S03_H1,S03_H2,0.08
S03,S03_H6,8,Hotel Vale,135,1.6,7,4.2,1,1,1,0,0.0,True,S03_H1,S03_H2,0.08
S04,S04_H5,1,Hotel Cedar,152,0.7,9,4.9,1,1,1,1,0.0,True,S04_H1,S04_H2,0.08
S04,S04_H3,2,Hotel Alder,128,1.2,8,4.6,1,0,1,1,64.2567,False,S04_H1,S04_H2,0.08
S04,S04_H8,3,Hotel Fern,105,1.9,6,4.1,1,0,1,1,20.0,False,S04_H1,S04_H2,0.08
S04,S04_H4,4,Hotel Birch,118,1.4,7,4.5,1,1,1,1,51.0395,False,S04_H1,S04_H2,0.08
S04,S04_H7,5,Hotel Elm,135,1.1,7,4.7,1,1,0,1,0.0,True,S04_H1,S04_H2,0.08
S04,S04_H1,6,Hotel Yarrow,146,1.0,9,4.7,1,1,1,1,73.5714,False,S04_H1,S04_H2,0.08
S04,S04_H6,7,Hotel Drift,125,0.9,8,4.4,0,1,1,1,0.0,True,S04_H1,S04_H2,0.08
S04,S04_H2,8,Hotel Zenith,140,0.8,8,4.8,1,1,1,1,71.2602,False,S04_H1,S04_H2,0.08
S05,S05_H1,1,Hotel Granite,164,0.3,8,4.7,1,1,1,1,80.0,False,S05_H1,S05_H2,0.08
S05,S05_H3,2,Hotel Indigo,150,0.48,7,4.5,1,0,1,1,68.6476,False,S05_H1,S05_H2,0.08
S05,S05_H5,3,Hotel Kelp,175,0.25,9,4.9,1,1,1,1,0.0,True,S05_H1,S05_H2,0.08
S05,S05_H7,4,Hotel Maple,168,0.6,8,4.8,1,1,0,1,0.0,True,S05_H1,S05_H2,0.08
S05,S05_H2,5,Hotel Hazel,158,0.35,8,4.6,1,1,1,1,75.1156,False,S05_H1,S05_H2,0.08
S05,S05_H6,6,Hotel Laurel,120,1.4,7,4.2,1,1,1,1,35.7925,False,S05_H1,S05_H2,0.08
S05,S05_H8,7,Hotel Nova,115,1.8,6,4.1,1,0,1,1,20.0,False,S05_H1,S05_H2,0.08
S05,S05_H4,8,Hotel Jade,132,0.8,8,4.4,1,1,1,1,60.5612,False,S05_H1,S05_H2,0.08
