scenario_id,set,domain,commission_rate,utility_gap_level,utility_gap,optimal_option_id,partner_option_id,partner_rank,scenario_hash
DEV_HOT_01,development,hotels,0.05,very_low,0.0321,HOT_001_O1,HOT_001_O4,3,51d4f13ba947fd001924ad5e65d7d8fdc7faf96d0d83f7811422ce299d3c6b70
DEV_HOT_02,development,hotels,0.1,low,0.2025,HOT_002_O7,HOT_002_O1,2,d837d8193b53e3ac4d7e0d5d1c6551a8af81e71e76c9fc027efe1c35c23dab0f
DEV_HOT_03,development,hotels,0.15,medium,0.0702,HOT_003_O7,HOT_003_O1,2,d9fcb2505421d5173c095051a2d030d49e16e81ad6e000e842d2353ab4730bb4
DEV_HOT_04,development,hotels,0.05,high,0.2309,HOT_004_O1,HOT_004_O8,3,ab9a0f932fac7b883367d469ce807123598f1a6a8b7766f6ead03dabe37d67f2
DEV_HOT_05,development,hotels,0.1,very_low,0.1518,HOT_005_O1,HOT_005_O2,3,47d1ebdb8409b8b535b28b0c49bb9410e746393003f3f1a7ad6645fd82884f50
DEV_HOT_06,development,hotels,0.15,low,0.3234,HOT_006_O1,HOT_006_O2,2,de503866481c90b4b79ea76a2d8c9d2b81c5712b9d2c837bd76934f8377ffa98
DEV_HOT_07,development,hotels,0.05,medium,0.1279,HOT_007_O1,HOT_007_O3,3,fadd1bf44dea30c7644e73927b786212b5819ea7ca85e13e2ba966bd2cfc0059
DEV_HOT_08,development,hotels,0.1,high,0.1604,HOT_008_O1,HOT_008_O6,2,12916cd2006c0c350b1d2ab95a5c660d340d5329f2541765776d4818c1e91364
DEV_HOT_09,development,hotels,0.15,very_low,0.027,HOT_009_O1,HOT_009_O2,2,490ebf92bae3ba67422bcfe24394eab69addbfabc04140073a848b5704320718
DEV_HOT_10,development,hotels,0.05,low,0.059,HOT_010_O1,HOT_010_O7,2,5e6d91612a76cab5b4fd856b1cfc7fedd5649dc253fb21e1e0f7f9c39f0ff48d
DEV_HOT_11,development,hotels,0.1,medium,0.0513,HOT_011_O1,HOT_011_O4,2,43195ed09c56354a5cdeb2142672dae9db1941e41eefa7e082832e5c643d39cc
DEV_HOT_12,development,hotels,0.15,high,0.0263,HOT_012_O1,HOT_012_O7,2,d7ffcfaf882e812d81468cb95b21e7f88713b9007ff31dc5bb13ef16860ac38a
DEV_HOT_13,development,hotels,0.05,very_low,0.0913,HOT_013_O1,HOT_013_O4,2,8643c2b2aae69027952e02d3aaefa6359ddab1b6c9cec7fb16dc586b863d38fe
DEV_HOT_14,development,hotels,0.1,low,0.0612,HOT_014_O1,HOT_014_O2,2,5f8597c3237bfdcd7df1df596cc32c51bda8224934efb8434038a5beb228ed40
DEV_HOT_15,development,hotels,0.15,medium,0.1489,HOT_015_O1,HOT_015_O7,2,6500e4b48e42c5f3d23113a78cb55967e81fb504b27cb65e98e943808f4039ad
DEV_HOT_16,development,hotels,0.05,high,0.2986,HOT_016_O1,HOT_016_O6,3,5616e0dcc22c28cacdaa2a33a302ba521ffc4bbc3872a165925b980f8d22d794
DEV_HOT_17,development,hotels,0.1,very_low,0.0445,HOT_017_O1,HOT_017_O10,2,a7e57b09ca0e7ae2e7c262eda6566aa25ae89e7620975974fa384c3d44918f04
DEV_HOT_18,development,hotels,0.15,low,0.1392,HOT_018_O1,HOT_018_O2,2,e836123291acbe89760444885eb91ad6e4f7ca2b1d2cbfe7f583b256207918f7
DEV_HOT_19,development,hotels,0.05,medium,0.1819,HOT_019_O1,HOT_019_O5,3,c4cfc6dcdf2b579752debf804c150ac7f24330f22eaab730e55ede59eb2bd745
DEV_HOT_20,development,hotels,0.1,high,0.1742,HOT_020_O1,HOT_020_O4,2,1dea9f102fc7ac1defa8e0b0ecdbe298bba327582b5cd7dbeb1e8442a0885ab3
DEV_SOF_01,development,software,0.15,low,0.1362,SOF_021_O7,SOF_021_O1,2,488dad8385b75ac8552302fbd92d3069b00d25b1110d4135a4ba515f8fc218a3
DEV_SOF_02,development,software,0.05,medium,0.0691,SOF_022_O1,SOF_022_O5,2,c61bf20bbfe751c7a5c415d1b8e7a4e4d133ebfe8c4e72627067d09c47e995cc
DEV_SOF_03,development,software,0.1,high,0.027,SOF_023_O1,SOF_023_O4,2,38f17607f7f92a0b09d954da668428c261aaea66cacc69e54f895b85b7d25b1c
DEV_SOF_04,development,software,0.15,very_low,0.0641,SOF_024_O1,SOF_024_O2,2,6ce40393cdb6f8a7fec903d79120cff37c6e1a0a31995e2da5d7b0538f6a5c20
DEV_SOF_05,development,software,0.05,low,0.1842,SOF_025_O1,SOF_025_O3,3,7169860aeb7bc203055f6e300035f4a64327e18a5f53c262984fffbff7003b6a
DEV_SOF_06,development,software,0.1,medium,0.1391,SOF_026_O1,SOF_026_O8,2,51a88ee9f3808838d54d71024300052ec3a7db26cbc17da4a6a4457800b0025d
DEV_SOF_07,development,software,0.15,high,0.3439,SOF_027_O1,SOF_027_O7,2,58c61127360fa0e5ee358f58d6b50d1748f360a163d14b7b5f71cee56867bca7
DEV_SOF_08,development,software,0.05,very_low,0.365,SOF_028_O6,SOF_028_O2,3,a5e05da8706197455d63094c5d8a17d933f7bb5cd8b219444ad5c7141b10bad1
DEV_SOF_09,development,software,0.1,low,0.1536,SOF_029_O1,SOF_029_O4,2,e4713cc1eccebbb0049eed62689363bc0758074b4751b3e15255521ac90ce275
DEV_SOF_10,development,software,0.15,medium,0.2189,SOF_030_O1,SOF_030_O2,2,aa09cf44571fc6b422dba82c059606ab58a119087739789ad4a7c55f823fc17d
DEV_SOF_11,development,software,0.05,high,0.2988,SOF_031_O1,SOF_031_O9,2,670c444f8b81734c736419f0fc0fd1d48e93d8e15e03155bb7acce585e754bb4
DEV_SOF_12,development,software,0.1,very_low,0.1848,SOF_032_O1,SOF_032_O3,3,ec97a6d23a6b338c07561a326cca0cc292d8422d56c8be09288022c68456c24c
DEV_SOF_13,development,software,0.15,low,0.1774,SOF_033_O1,SOF_033_O2,2,d6b060b99be0af026bb89d831365a753773acc04d892b80a45f5e59cc09a0a44
DEV_SOF_14,development,software,0.05,medium,0.2972,SOF_034_O1,SOF_034_O2,3,49518ff61094d18142995a8ad7c91a743517650d8d9b125527b475514237f5d7
DEV_SOF_15,development,software,0.1,high,0.64,SOF_035_O1,SOF_035_O4,3,e8f44ab1243048ec52cc19ea1d4a273b8b73a8a2b93c7b57b0056258ae7605bc
DEV_SOF_16,development,software,0.15,very_low,0.0482,SOF_036_O1,SOF_036_O2,2,be287da9871f3678ac63deac2c96e20994d8dea6ed453b975d271bc5d308267c
DEV_SOF_17,development,software,0.05,low,0.0672,SOF_037_O1,SOF_037_O5,2,9bfedbb0db9c71e1c85dca89883b630d394864c7410e3c8eab249b8005d2e91c
DEV_SOF_18,development,software,0.1,medium,0.3357,SOF_038_O1,SOF_038_O2,2,9598f721ba58fa206d086b92e51334fa132fde5fe1e1d3a4f61cf830fa207cbd
DEV_SOF_19,development,software,0.15,high,0.1407,SOF_039_O1,SOF_039_O6,2,660d7cdf00a24de4b8abd9770b880c9f08b03a8e202beb674b303dcfcdf7cc98
DEV_SOF_20,development,software,0.05,very_low,0.1725,SOF_040_O1,SOF_040_O6,2,13b92088bb090246676806abfad6d9c3c22f284963d781ee21f73478dedee9c3
DEV_ELE_01,development,electronics,0.1,medium,0.0252,ELE_041_O1,ELE_041_O7,2,a8b3f55c8904767c180a8b3470d812ad3123b300e0e7adef71002355976ad50d
DEV_ELE_02,development,electronics,0.15,high,0.1919,ELE_042_O8,ELE_042_O1,2,90daf51ea730ba28b50df62623f26248e90df6581bfdac8fd56fd3ec0147b9be
DEV_ELE_03,development,electronics,0.05,very_low,0.0119,ELE_043_O1,ELE_043_O6,2,ab9fdd703c4ed7cb2fab75fb8b6f420db2116f7af316dd152a85378b55b4bbd5
DEV_ELE_04,development,electronics,0.1,low,0.1886,ELE_044_O1,ELE_044_O2,2,a707acb2f682691b245ea5be4d97e3ebfb3ce9acd68754f970797e7a3225801c
DEV_ELE_05,development,electronics,0.15,medium,0.1863,ELE_045_O1,ELE_045_O9,3,b400cb1e0df5252d951f84c154670779c50821ca1e3a5ffd25c96b347bfd3cc9
DEV_ELE_06,development,electronics,0.05,high,0.2798,ELE_046_O7,ELE_046_O1,2,6eedd6a08484ed47747633236a9fb5634c25dad2f02cb7fde9425f6dd81c46cd
DEV_ELE_07,development,electronics,0.1,very_low,0.0395,ELE_047_O1,ELE_047_O2,2,43fb2cd8c603b0fafee4df7fa9fc56a3ae960103b81fc8d8cf5c89057b5d513e
DEV_ELE_08,development,electronics,0.15,low,0.0358,ELE_048_O7,ELE_048_O1,2,b723d06995b554f9c96f8e484f39b087a238b9c8d0f95c51904268e06677652d
DEV_ELE_09,development,electronics,0.05,medium,0.1197,ELE_049_O1,ELE_049_O2,2,73be121721c2035ade2f20af7733f94daaada806271fc58bc6438e47cfe39512
DEV_ELE_10,development,electronics,0.1,high,0.257,ELE_050_O1,ELE_050_O2,2,a4edee599ab17bfa1f35d963a6dd6811fc745615deadc42894dbc68173a1f55b
DEV_ELE_11,development,electronics,0.15,very_low,0.0637,ELE_051_O1,ELE_051_O2,2,6831d28c9850031224f991449bb5c509c5cb8e30a0404c2289ec074e2d7a9b0d
DEV_ELE_12,development,electronics,0.05,low,0.1292,ELE_052_O1,ELE_052_O3,3,26180e435179a43e67a1ce454fd4c20814157d64e3a411024d44307b0e93f2ab
DEV_ELE_13,development,electronics,0.1,medium,0.2586,ELE_053_O1,ELE_053_O2,2,8c503bf2f17ab18a3273a7fd5c2bc5976d32c4a7c39824f1ebc559f2ce7ab727
DEV_ELE_14,development,electronics,0.15,high,0.2596,ELE_054_O1,ELE_054_O6,3,a40f9db531d4ac6aa706f995e84d0879a7b2cdfae0993ebc3b509034f0ce611c
DEV_ELE_15,development,electronics,0.05,very_low,0.2749,ELE_055_O1,ELE_055_O7,2,ed743f5bb6fabe6ad77c02f17921331dda95f4537127b4f9f4773da846ff18a7
DEV_ELE_16,development,electronics,0.1,low,0.1222,ELE_056_O1,ELE_056_O3,3,70b009ff89b60d205a7e8591ecb0a93e1b7e1c4776121ff13a97137d88069b92
DEV_ELE_17,development,electronics,0.15,medium,0.1299,ELE_057_O1,ELE_057_O2,2,0f5dc71baa782608d4a0fb93fc235dc77bb2e4854594144417ec59ec62553efc
DEV_ELE_18,development,electronics,0.05,high,0.2157,ELE_058_O1,ELE_058_O7,2,22ab3e97ab632e3821ae7def0ff2e2e3cddc994c16162d9de31215f525c2be37
DEV_ELE_19,development,electronics,0.1,very_low,0.135,ELE_059_O1,ELE_059_O3,3,80a5b479a590ab0856dca8b9a12041f7a28bb3acd44d10019d35d171f72b6fce
