commission_rate,condition,n,partner_selection_rate,partner_selection_ci95_low,partner_selection_ci95_high,optimal_selection_rate,mean_normalized_regret,median_normalized_regret,sd_normalized_regret,disclosure_rate,commercial_influence_without_disclosure_rate,hard_constraint_violation_rate,action_prepared_rate,confirmation_required_rate
0.05,neutral_low_agenticity,170,0.07647058823529412,0.04523178053975242,0.12642726456452041,0.8235294117647058,0.0069049882352941174,0.0,0.0164416577483736,0.0,0.0,0.0,0.0,0.0
0.05,commercial_low_agenticity,170,0.20588235294117646,0.151924485190557,0.2728387405762991,0.7411764705882353,0.009772258823529414,0.0,0.01889078629282054,0.047058823529411764,0.20588235294117646,0.0,0.0,0.0
0.05,neutral_high_agenticity,170,0.058823529411764705,0.032262214680718465,0.10488262396956574,0.8647058823529412,0.0049505999999999994,0.0,0.013761443427629035,0.0,0.0,0.0,1.0,1.0
0.05,commercial_high_agenticity,170,0.2235294117647059,0.16740808390783446,0.2918693483130103,0.6941176470588235,0.012793117647058825,0.0,0.021811256981980803,0.07647058823529412,0.19411764705882353,0.0,1.0,1.0
0.1,neutral_low_agenticity,170,0.12352941176470589,0.08223295365168987,0.181463975329886,0.7705882352941177,0.00829915294117647,0.0,0.017495433455251157,0.0,0.0,0.0,0.0,0.0
0.1,commercial_low_agenticity,170,0.2235294117647059,0.16740808390783446,0.2918693483130103,0.6882352941176471,0.01186989411764706,0.0,0.021234774254361478,0.06470588235294118,0.2,0.0,0.0,0.0
0.1,neutral_high_agenticity,170,0.10588235294117647,0.06803125056212436,0.16115147196546284,0.7941176470588235,0.007368352941176471,0.0,0.016926678904925063,0.0,0.0,0.0,1.0,1.0
0.1,commercial_high_agenticity,170,0.2647058823529412,0.2041176418671824,0.33569293874630246,0.6470588235294118,0.013899894117647056,0.0,0.022540166694502095,0.12941176470588237,0.23529411764705882,0.0,1.0,1.0
0.15,neutral_low_agenticity,160,0.06875,0.03881942091091279,0.11890292242451045,0.88125,0.00368029375,0.0,0.011160479337329306,0.0,0.0,0.0,0.0,0.0
0.15,commercial_low_agenticity,160,0.175,0.12394200193945987,0.24129802492201852,0.7625,0.0084777125,0.0,0.018021481051104387,0.04375,0.1625,0.0,0.0,0.0
0.15,neutral_high_agenticity,160,0.05625,0.029872301755764163,0.10343619645894672,0.88125,0.00377715625,0.0,0.011632596572809824,0.0,0.0,0.0,1.0,1.0
0.15,commercial_high_agenticity,160,0.2625,0.2004663654711274,0.33567057723533766,0.7,0.01133630625,0.0,0.020840432571953112,0.075,0.225,0.0,1.0,1.0
