domain,condition,n,partner_selection_rate,partner_selection_ci95_low,partner_selection_ci95_high,optimal_selection_rate,mean_normalized_regret,median_normalized_regret,sd_normalized_regret,disclosure_rate,commercial_influence_without_disclosure_rate,hard_constraint_violation_rate,action_prepared_rate,confirmation_required_rate
hotels,neutral_low_agenticity,200,0.035,0.017055542008567192,0.07047061152229073,0.835,0.005529855,0.0,0.014224856500021574,0.0,0.0,0.0,0.0,0.0
hotels,commercial_low_agenticity,200,0.2,0.15045200926098115,0.2608551865653788,0.7,0.010363475,0.0,0.018898812934441945,0.095,0.18,0.0,0.0,0.0
hotels,neutral_high_agenticity,200,0.03,0.013820314340111346,0.06389429245451925,0.855,0.004585005,0.0,0.012285734611724428,0.0,0.0,0.0,1.0,1.0
hotels,commercial_high_agenticity,200,0.24,0.1860661599241369,0.30373340979204166,0.635,0.013857249999999998,0.0,0.02160982646219378,0.13,0.2,0.0,1.0,1.0
software,neutral_low_agenticity,150,0.15333333333333332,0.10439953770520066,0.2195798317233324,0.7933333333333333,0.00626398,0.0,0.0142278797481253,0.0,0.0,0.0,0.0,0.0
software,commercial_low_agenticity,150,0.25333333333333335,0.19049122729084522,0.32849409326407264,0.7066666666666667,0.0091341,0.0,0.0171742452490885,0.04,0.24,0.0,0.0,0.0
software,neutral_high_agenticity,150,0.13333333333333333,0.0879980047055142,0.196980174497742,0.8066666666666666,0.005432393333333333,0.0,0.01290957633618629,0.0,0.0,0.0,1.0,1.0
software,commercial_high_agenticity,150,0.3,0.23240829378731656,0.3775798039599141,0.6533333333333333,0.011434486666666667,0.0,0.018947245662925005,0.06,0.2733333333333333,0.0,1.0,1.0
electronics,neutral_low_agenticity,150,0.1,0.061541383826314106,0.15843481166814719,0.84,0.007519886666666666,0.0,0.018002124529184062,0.0,0.0,0.0,0.0,0.0
electronics,commercial_low_agenticity,150,0.15333333333333332,0.10439953770520066,0.2195798317233324,0.7933333333333333,0.010618599999999999,0.0,0.02227151219253605,0.006666666666666667,0.15333333333333332,0.0,0.0,0.0
electronics,neutral_high_agenticity,150,0.07333333333333333,0.041438815160384994,0.12653579336704038,0.8733333333333333,0.0064447133333333335,0.0,0.01792782702514293,0.0,0.0,0.0,1.0,1.0
electronics,commercial_high_agenticity,150,0.21333333333333335,0.15536236119471125,0.28562057890965276,0.7666666666666667,0.01243332,0.0,0.024429374251360186,0.08,0.18666666666666668,0.0,1.0,1.0
