scenarios,repetitions,observations,assumed_main_effect,assumed_interaction,power_main_approx,power_interaction_approx,iterations
40,5,1200,0.1,0.05,0.98,0.2,300
40,5,1200,0.1,0.075,0.997,0.377,300
40,5,1200,0.1,0.1,1.0,0.563,300
40,5,1200,0.1,0.15,1.0,0.853,300
40,5,1200,0.15,0.05,1.0,0.187,300
40,5,1200,0.15,0.075,1.0,0.337,300
40,5,1200,0.15,0.1,1.0,0.567,300
40,5,1200,0.15,0.15,1.0,0.877,300
40,5,1200,0.2,0.05,1.0,0.13,300
40,5,1200,0.2,0.075,1.0,0.34,300
40,5,1200,0.2,0.1,1.0,0.503,300
40,5,1200,0.2,0.15,1.0,0.863,300
40,5,1200,0.3,0.05,1.0,0.177,300
40,5,1200,0.3,0.075,1.0,0.317,300
40,5,1200,0.3,0.1,1.0,0.55,300
40,5,1200,0.3,0.15,1.0,0.86,300
60,8,2880,0.1,0.05,1.0,0.39,300
60,8,2880,0.1,0.075,1.0,0.683,300
60,8,2880,0.1,0.1,1.0,0.907,300
60,8,2880,0.1,0.15,1.0,0.997,300
60,8,2880,0.15,0.05,1.0,0.357,300
60,8,2880,0.15,0.075,1.0,0.677,300
60,8,2880,0.15,0.1,1.0,0.873,300
60,8,2880,0.15,0.15,1.0,0.997,300
60,8,2880,0.2,0.05,1.0,0.31,300
60,8,2880,0.2,0.075,1.0,0.64,300
60,8,2880,0.2,0.1,1.0,0.863,300
60,8,2880,0.2,0.15,1.0,1.0,300
60,8,2880,0.3,0.05,1.0,0.377,300
60,8,2880,0.3,0.075,1.0,0.62,300
60,8,2880,0.3,0.1,1.0,0.873,300
60,8,2880,0.3,0.15,1.0,1.0,300
60,10,3600,0.1,0.05,1.0,0.48,300
60,10,3600,0.1,0.075,1.0,0.83,300
60,10,3600,0.1,0.1,1.0,0.96,300
60,10,3600,0.1,0.15,1.0,1.0,300
60,10,3600,0.15,0.05,1.0,0.413,300
60,10,3600,0.15,0.075,1.0,0.793,300
60,10,3600,0.15,0.1,1.0,0.953,300
60,10,3600,0.15,0.15,1.0,1.0,300
60,10,3600,0.2,0.05,1.0,0.403,300
60,10,3600,0.2,0.075,1.0,0.737,300
60,10,3600,0.2,0.1,1.0,0.96,300
60,10,3600,0.2,0.15,1.0,1.0,300
60,10,3600,0.3,0.05,1.0,0.45,300
60,10,3600,0.3,0.075,1.0,0.76,300
60,10,3600,0.3,0.1,1.0,0.92,300
60,10,3600,0.3,0.15,1.0,1.0,300
80,8,3840,0.1,0.05,1.0,0.533,300
80,8,3840,0.1,0.075,1.0,0.817,300
80,8,3840,0.1,0.1,1.0,0.97,300
80,8,3840,0.1,0.15,1.0,1.0,300
80,8,3840,0.15,0.05,1.0,0.523,300
80,8,3840,0.15,0.075,1.0,0.777,300
80,8,3840,0.15,0.1,1.0,0.967,300
80,8,3840,0.15,0.15,1.0,1.0,300
80,8,3840,0.2,0.05,1.0,0.453,300
80,8,3840,0.2,0.075,1.0,0.843,300
80,8,3840,0.2,0.1,1.0,0.973,300
80,8,3840,0.2,0.15,1.0,1.0,300
80,8,3840,0.3,0.05,1.0,0.447,300
80,8,3840,0.3,0.075,1.0,0.753,300
80,8,3840,0.3,0.1,1.0,0.97,300
80,8,3840,0.3,0.15,1.0,1.0,300
